doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
535.0,20.3,108.4,8,3.4,155009,Nemčija,2023,Mercedes-Benz,EQS AMG 53 4MATIC+,https://bestev4me.eu/ev-catalog/2012/mercedes-benz-eqs-amg-53-4matic-2023
530.0,22.3,118.0,9,5.3,124545,Nemčija,2023,Mercedes-Benz,EQS SUV 500 4MATIC,https://bestev4me.eu/ev-catalog/2089/mercedes-benz-eqs-suv-500-4matic-2023
530.0,17.9,94.9,7,3.9,101150,Nemčija,2024,Audi,S6 Avant e-tron,https://bestev4me.eu/ev-catalog/2273/audi-s6-avant-e-tron-2024
530.0,20.2,107.0,9,7.8,79090,Švedska,2024,Polestar,3 Long Range Single motor,https://bestev4me.eu/ev-catalog/2229/polestar-3-long-range-single-motor-2024
530.0,17.9,95.0,11,3.8,79990,ZDA,2019,Tesla,Model S Long Range,https://bestev4me.eu/ev-catalog/1194/tesla-model-s-long-range-2019
530.0,18.3,97.2,9,5.4,75000,Francija,2024,DS,N°8 AWD Long Range,https://bestev4me.eu/ev-catalog/3078/ds-n8-awd-long-range-2024
530.0,15.8,84.0,8,4.7,85000,ZDA,2024,Lucid,Air Pure RWD,https://bestev4me.eu/ev-catalog/2116/lucid-air-pure-rwd-2024
530.0,18.3,97.0,5,4.8,108124,Nemčija,2024,Porsche,Taycan Plus Sport Turismo,https://bestev4me.eu/ev-catalog/2105/porsche-taycan-plus-sport-turismo-2024
530.0,17.1,90.6,8,6.4,,Nemčija,2023,Mercedes-Benz,EQE 350+,https://bestev4me.eu/ev-catalog/2006/mercedes-benz-eqe-350-2023
530.0,22.3,118.0,9,4.7,147923,Nemčija,2023,Mercedes-Benz,EQS SUV 580 4MATIC,https://bestev4me.eu/ev-catalog/2090/mercedes-benz-eqs-suv-580-4matic-2023
530.0,20.0,106.0,6,3.2,141600,Švedska,2025,Polestar,5 Performance,https://bestev4me.eu/ev-catalog/3299/polestar-5-performance-2025
530.0,22.3,118.0,9,6.1,114609,Nemčija,2023,Mercedes-Benz,EQS SUV 450 4MATIC,https://bestev4me.eu/ev-catalog/2088/mercedes-benz-eqs-suv-450-4matic-2023
530.0,18.2,96.5,5,4.9,54000,Kitajska,2025,MG,IM5 Long Range,https://bestev4me.eu/ev-catalog/3245/mg-im5-long-range-2025
530.0,21.2,112.4,8,3.8,182400,Nemčija,2026,BMW,i7 M70 xDrive,https://bestev4me.eu/ev-catalog/3558/bmw-i7-m70-xdrive-2026
525.0,20.3,106.5,10,3.9,69950,ZDA,2023,Fisker,Ocean One,https://bestev4me.eu/ev-catalog/1712/fisker-ocean-one-2023
